operation,frequency,example
substitute a for o,280,
substitute a for e,274,
substitute i for e,251,
insert e,231,
substitute e for i,220,
substitute e for a,209,
delete e,198,
substitute a for i,189,
substitute o for a,169,
substitute i for y,138,
insert l,131,
substitute i for a,126,
substitute s for c,121,
substitute y for i,120,
insert h,111,
delete l,106,
substitute c for s,105,
insert o,103,
delete h,101,
insert s,100,
substitute e for o,93,
substitute i for o,91,
substitute o for e,88,
insert a,87,
delete a,78,
insert i,74,
delete s,71,
delete t,71,
substitute u for o,68,
insert t,67,
insert c,65,
substitute o for u,63,
delete c,62,
substitute o for i,61,
substitute e for u,59,
substitute y for e,59,
delete i,57,
delete o,55,
insert r,55,
insert p,49,
substitute e for y,47,
delete r,46,
insert u,46,
delete n,45,
substitute t for d,44,
substitute i for u,42,
substitute u for e,42,
substitute c for k,42,
insert n,41,
delete p,40,
substitute d for t,39,
substitute u for i,39,
delete u,35,
substitute u for a,35,
substitute h for f,34,
substitute k for c,33,
substitute a for u,33,
substitute s for z,31,
substitute c for t,28,
substitute f for h,27,
substitute l for e,24,
substitute a for y,24,
insert g,23,
substitute e for l,22,
insert m,22,
substitute z for s,21,
substitute o for y,20,
insert q,19,
substitute e for s,19,
delete g,17,
delete m,16,
substitute c for u,16,
insert y,16,
substitute t for c,16,
insert k,15,
substitute j for g,15,
insert d,14,
substitute e for r,12,
substitute s for e,12,
insert b,12,
substitute t for e,12,
delete w,11,
substitute e for n,11,
substitute k for h,11,
substitute u for w,11,
substitute h for k,11,
substitute r for e,11,
substitute g for d,11,
delete d,10,
substitute l for a,10,
substitute e for t,10,
substitute h for i,10,
substitute p for f,10,
delete k,9,
substitute w for u,9,
substitute a for l,9,
insert f,9,
delete q,8,
substitute n for g,8,
substitute y for o,8,
substitute u for c,8,
substitute h for e,8,
substitute h for t,8,
substitute c for e,8,
delete b,7,
delete y,7,
substitute q for c,7,
substitute n for m,7,
substitute n for e,7,
substitute t for s,7,
substitute s for x,7,
substitute i for n,7,
substitute v for w,7,
substitute h for c,7,
substitute y for a,7,
substitute f for p,7,
substitute c for q,7,
substitute g for j,7,
delete f,6,
substitute z for x,6,
