deplorable,see
frivolity,see
accessorized,+
addlepated,""
flexibility,Middle English
catalyst,see
approbatory,see
hackneyed,see
credential,see
credential,see
credential,see
bohemian,see
gibraltar,""
imperilment,Middle English
augury,see
catechism,see
blandishment,see
cryophilic,""
rectigrade,+
adjudicate,borrowed from Latin
adjudicate,Latin
acerbity,borrowed from Middle French
forbearance,see
cauterize,see
effusive,borrowed from Medieval Latin
gouda,""
covetous,see
fissiped,[
fissiped,Late Latin
acculturation,+
unmanacle,+
borzoi,Russian
sybaritic,[
abhorrence,+
neonatology,""
saccharoid,International Scientific Vocabulary
alliance,see
abominable,Middle English
facilitator,""
contrition,see
concurrence,see
contemptible,see
indexically,+
dilapidated,see
actuality,Middle English
conjunction,see
dynasty,see
consciousness,see
clemency,see
appendages,[
acquittal,Middle English
allayment,+
aspersion,see
appellations,see
holophytic,""
cryology,+
duplicitous,see
selenian,+
blasphemy,see
dysgraphia,+ Greek
Mediterranean,[
flexure,borrowed from Latin
obelus,Middle English
appurtenance,see
appurtenance,Anglo-French
conferential,see
achondrite,probably borrowed from German
baedeker,Karl
naris,borrowed from Latin
derelict,Latin
derelict,see
hermeneutics,see
chicanery,see
circumstantial,see
cryptanalysis,""
hackneyed,see
accessible,Middle English
imperil,Middle English
cynicism,see
acetylene,borrowed from French
whippoorwill,imitative
bifurcation,see
defeasible,alteration (conformed to
heterogeneity,see
neophiliac,""
gemmary,+
tonitruous,from Latin
vaticination,borrowed from Latin
farrago,Latin
minuscular,+
scripophily,+
florigen,International Scientific Vocabulary
sicklocyte,+
heliophyte,+
denunciation,see
desperately,see
coordinate,probably back-formation from
coordinate,see
coordinate,see
geometrically,see
consequently,see
disclaimant,Middle English
singe,Middle English
coincidental,+
drudgery,see
braggart,in part from
cauterize,see
acerbity,borrowed from Middle French
adenoidal,""
vaccinate,earlier
gutturalize,+
aggrieved,Middle English
vasodilator,+
armature,Middle English
pedigerous,+
acuminate,borrowed from Latin
metage,+
abysmal,+
accompaniment,+
genocide,+
experiential,borrowed from New Latin
frivolity,see
harmoniously,see
deficiency,""
depravity,see
foundry,borrowed from Middle French
constituency,see
complicity,see
vaunted,from past participle of
kernelly,+
negotiability,""
commissioner,Middle English
vehemence,Middle English
glary,see
burglarious,Anglo-French
beguile,Middle English
apocalyptic,see
jurisprudence,see
jurisprudence,Late Latin
amalgamation,see
asphyxiated,see
hallucination,see
noctilucent,[
noctilucent,[
serried,[
martinetish,+
garrulity,borrowed from Middle French & Latin; Middle French
patriciate,see
oncogeny,+
bedizen,+
venire,earlier
venire,probably from
achondrite,probably borrowed from German
dacquoise,French
parricide,[
parricide,[
parricide,Latin
consanguinity,see
aerodynamic,""
spelunking,""
capitulation,see
bombastic,""
guilelessness,see
aristocrat,see
fabulist,probably borrowed from Middle French
galvanize,borrowed from French
neonatology,""
actinic,Greek
acetylene,borrowed from French
whelked,+
whelked,+
golgotha,""
squibbery,+
fissiped,[
